YYYY,DOY,HR,MN,1,2,3,4,5,6,7
2012,60,0,0,2.82,-5.98,-2.71,432.8,1.55,169,-21
2012,60,0,1,3.68,-5.8,-2.17,431.5,1.63,174,-22
2012,60,0,2,3.67,-5.8,-2.22,428.7,1.6,178,-22
2012,60,0,3,3.86,-5.68,-2.05,428.7,1.6,174,-22
2012,60,0,4,3.9,-5.63,-1.99,428.7,1.6,173,-22
2012,60,0,5,4.1,-5.46,-1.95,427.2,1.73,160,-22
2012,60,0,6,3.99,-5.56,-2.04,427.2,1.73,158,-22
2012,60,0,7,3.89,-5.67,-2.04,428.8,1.6,171,-22
2012,60,0,8,3.96,-5.62,-2.09,428.8,1.6,181,-22
2012,60,0,9,4.08,-5.44,-2.21,99999.9,99.99,190,-22
2012,60,0,10,3.81,-5.67,-1.72,428.1,1.63,184,-23
2012,60,0,11,3.68,-5.77,-1.59,428.1,1.63,181,-23
2012,60,0,12,2.87,-5.85,-2.57,425.9,1.55,178,-23
2012,60,0,13,2.61,-5.95,-2.87,99999.9,99.99,188,-23
2012,60,0,14,2.09,-5.98,-3.02,434.9,1.55,192,-23
2012,60,0,15,2.08,-6.22,-2.73,436.8,1.54,196,-23
2012,60,0,16,2.3,-6.18,-2.57,443,1.62,195,-24
2012,60,0,17,1.09,-5.68,-3.31,437.3,1.72,189,-23
2012,60,0,18,0.21,-5.62,-3.83,437,1.75,181,-23
2012,60,0,19,-0.02,-5.88,-3.46,440.5,1.85,178,-23
2012,60,0,20,-0.13,-5.9,-3.49,440.5,1.82,178,-23
2012,60,0,21,-0.31,-5.71,-3.79,441,1.82,180,-23
2012,60,0,22,-0.08,-6.02,-3.52,441.9,1.65,175,-23
2012,60,0,23,0.03,-6.27,-2.83,444.2,1.76,187,-23
2012,60,0,24,0.03,-6.24,-2.86,446.6,1.9,193,-23
2012,60,0,25,0.32,-6.19,-3.07,446.8,1.91,183,-23
2012,60,0,26,0.12,-6.19,-3.04,443.2,1.75,186,-23
2012,60,0,27,-0.02,-6.24,-2.71,443.1,1.74,177,-23
2012,60,0,28,0.18,-6.31,-2.41,441.3,1.58,182,-23
2012,60,0,29,0.14,-6.13,-2.53,445.5,1.83,194,-23
2012,60,0,30,0.21,-6.17,-2.29,446.3,1.88,185,-22
2012,60,0,31,0.46,-6.14,-2.21,447.7,2.04,192,-22
2012,60,0,32,0.12,-6.24,-1.91,449.8,2.19,189,-22
2012,60,0,33,0.05,-6.35,-1.68,450.4,2.24,201,-21
2012,60,0,34,-0.3,-6.47,-1.43,99999.9,99.99,223,-22
2012,60,0,35,0.11,-6.29,-1.93,441.6,1.88,251,-22
2012,60,0,36,-0.1,-6.31,-2,441.6,1.88,249,-22
2012,60,0,37,0.03,-6.36,-1.81,438.4,1.84,270,-22
2012,60,0,38,0.07,-6.38,-1.5,438.4,1.84,275,-23
2012,60,0,39,0.16,-6.35,-1.69,438.4,1.95,262,-23
2012,60,0,40,-0.04,-6.39,-1.59,438.4,1.95,271,-23
2012,60,0,41,0.03,-6.37,-1.76,441.3,1.95,280,-23
2012,60,0,42,0.49,-6.25,-1.97,441.3,1.95,278,-23
2012,60,0,43,0.94,-6.22,-2.19,436.9,2.04,282,-24
2012,60,0,44,0.98,-6.1,-2.44,436.9,2.04,276,-24
2012,60,0,45,1.4,-6.15,-1.97,439.1,1.79,257,-24
2012,60,0,46,1.59,-6.06,-1.83,439.1,1.79,255,-24
2012,60,0,47,0.7,-6.31,-1.34,443.4,2.27,261,-24
2012,60,0,48,1.68,-6.09,-1.57,443.4,2.27,248,-24
2012,60,0,49,2.71,-5.55,-2.23,99999.9,99.99,235,-24
2012,60,0,50,3.39,-5.36,-2.11,99999.9,99.99,238,-24
2012,60,0,51,3.11,-5.64,-1.75,99999.9,99.99,250,-25
2012,60,0,52,2.67,-5.79,-1.74,99999.9,99.99,254,-25
2012,60,0,53,2.37,-5.8,-1.92,99999.9,99.99,257,-25
2012,60,0,54,2.3,-5.96,-1.86,433.8,1.73,256,-25
2012,60,0,55,2.26,-5.94,-2.07,433.8,1.73,252,-25
2012,60,0,56,2.34,-5.83,-2.11,99999.9,99.99,243,-26
2012,60,0,57,2.38,-5.83,-1.94,434.1,1.59,239,-26
2012,60,0,58,2.35,-5.81,-1.89,434.1,1.59,232,-26
2012,60,0,59,2.14,-5.88,-2.16,438.6,1.7,236,-26
2012,60,1,0,2.15,-5.85,-2.02,438.6,1.7,235,-26
2012,60,1,1,-0.4,-6.25,-1.5,450.1,2.07,234,-26
2012,60,1,2,-0.51,-6.22,-1.42,450.1,2.07,234,-26
2012,60,1,3,1.41,-5.9,-1.86,99999.9,99.99,229,-27
2012,60,1,4,3.39,-4.9,-2.53,439.4,1.57,213,-27
2012,60,1,5,2.21,-5.74,-2.28,439.4,1.57,212,-27
2012,60,1,6,2.23,-5.68,-2.37,439.4,1.57,220,-27
2012,60,1,7,2.46,-5.58,-2.16,438.7,1.4,221,-27
2012,60,1,8,1.89,-5.78,-1.98,438.7,1.4,220,-27
2012,60,1,9,2.17,-5.65,-1.97,99999.9,99.99,225,-27
2012,60,1,10,1.96,-5.86,-1.91,99999.9,99.99,228,-27
2012,60,1,11,2.25,-5.69,-2.18,440.5,1.39,229,-27
2012,60,1,12,2.09,-5.71,-2.19,440.5,1.39,233,-27
2012,60,1,13,2.27,-5.57,-2.29,99999.9,99.99,226,-27
2012,60,1,14,2.45,-5.55,-2.17,438.7,1.32,222,-27
2012,60,1,15,2.61,-5.53,-1.91,438.7,1.32,215,-26
2012,60,1,16,2.59,-5.57,-1.87,438.7,1.32,222,-27
2012,60,1,17,2.59,-5.57,-1.87,99999.9,99.99,231,-27
2012,60,1,18,2.58,-5.45,-2.2,99999.9,99.99,244,-27
2012,60,1,19,3.08,-5.23,-1.87,440.8,1.38,250,-27
2012,60,1,20,3.48,-4.89,-1.92,437.4,1.37,252,-27
2012,60,1,21,5.24,-2.98,-2.29,429.7,1.38,248,-28
2012,60,1,22,9999.99,9999.99,9999.99,422.2,1.44,244,-28
2012,60,1,23,5.12,-3.03,-2.49,99999.9,99.99,243,-28
2012,60,1,24,4.71,-3.62,-2.46,99999.9,99.99,240,-28
2012,60,1,25,5.01,-3.24,-2.61,419.6,1.21,232,-28
2012,60,1,26,5.03,-3.08,-2.7,418.8,1.22,237,-28
2012,60,1,27,4.82,-3.35,-2.68,425,1.28,243,-28
2012,60,1,28,4.36,-4.26,-1.93,421,1.26,242,-28
2012,60,1,29,4.22,-4.13,-2.18,99999.9,99.99,249,-28
2012,60,1,30,4.46,-3.8,-2.36,422.8,1.45,250,-29
2012,60,1,31,3.9,-4.01,-2.37,422.7,1.43,246,-29
2012,60,1,32,1.71,-5.52,-2.28,433.8,1.62,248,-29
2012,60,1,33,4.08,-3.59,-2.88,435.2,1.45,243,-29
2012,60,1,34,4.51,-3.32,-2.71,435.6,1.4,234,-29
2012,60,1,35,4.08,-3.63,-2.71,414.1,1.29,225,-29
2012,60,1,36,2.61,-5.11,-2.21,417.2,1.33,230,-29
2012,60,1,37,2.3,-5.28,-2.2,427.5,1.48,225,-29
2012,60,1,38,2.72,-4.98,-2.41,425,1.51,229,-29
2012,60,1,39,3.28,-4.66,-2.13,424.9,1.51,230,-29
2012,60,1,40,4.05,-4.14,-2.1,99999.9,99.99,235,-30
2012,60,1,41,4.22,-3.83,-2.41,423.7,1.52,238,-30
